ocrr_dt,y_volt,x_volt,volt_rate,atmp_tmpr,road_tmpr,avg_road_stts_cd,trinspct_road_stts_cd,avg_road_ascat_symbl,trinspct_road_ascat_symbl,avg_rdsrfc_frct_nmvl,trinspct_rdsrfc_frct_nmvl,lens_stts_cd,surfc_grip,rltv_hmdt,scnd_atmp_tmpr,eqpm_tmpr,lat,lon
2024-02-05 01:23:53.528,392,424,0.925,6.97,6.47,3,3,WT2,WT2,5,5,4,FAIR,68.3,6.83,15.33,34.87270059423681,128.64999155494985
2024-02-05 01:33:53.778,407,425,0.9570000000000001,6.77,6.37,3,3,WT2,WT2,5,5,4,FAIR,69.87,6.59,14.82,37.75357153204958,125.92255997799356
2024-02-05 01:27:04.347,421,363,1.162,6.75,2.63,3,3,WT2,WT2,5,8,4,FAIR,72.61,6.54,11.04,36.65996970905702,126.73319847184943
2024-02-05 01:49:04.528,400,341,1.176,5.67,2.07,3,3,WT2,WT2,8,8,4,FAIR,82.17,5.48,10.02,35.993292420985185,128.3164031842891
2024-02-05 01:47:04.434,385,477,0.806,5.67,2.07,3,3,WT2,WT2,5,5,4,FAIR,81.3,5.54,10.16,33.780093202212186,127.4104467226224
2024-02-05 01:51:04.394,432,375,1.153,5.55,1.97,3,3,WT2,WT2,5,8,4,FAIR,82.22,5.37,9.88,33.77997260168101,128.69285519317447
2024-02-05 02:06:04.574,338,156,2.164,5.13,1.73,5,5,IC1,IC1,10,10,4,FAIR,84.58,5.0,9.13,33.290418060841,129.8060395061143
2024-02-05 01:53:04.529,299,276,1.084,5.51,1.99,5,5,IC1,IC1,8,8,4,FAIR,83.57,5.22,9.74,37.330880728874675,125.58273343857599
2024-02-05 01:53:53.938,403,400,1.006,5.79,5.55,3,3,WT2,WT2,5,5,4,FAIR,75.74,5.67,13.98,36.00557505871605,128.5478385819903
2024-02-05 02:01:04.633,344,179,1.9180000000000001,5.25,1.85,5,5,IC1,IC1,10,10,4,FAIR,84.56,5.05,9.39,36.540362888980226,126.15172077816057
2024-02-05 02:40:04.258,363,197,1.845,4.11,1.09,5,5,IC1,IC1,10,10,4,FAIR,88.6,3.9,8.25,33.10292247147901,127.07238363703785
2024-02-05 02:27:53.779,393,376,1.045,4.67,4.93,3,3,WT2,WT2,5,5,4,FAIR,81.23,4.47,12.62,37.84954926080997,125.1643136289757
2024-02-05 02:34:04.401,364,216,1.6840000000000002,4.29,1.21,5,5,IC1,IC1,10,9,4,FAIR,87.95,4.08,8.35,37.16221320400211,125.6795369114635
2024-02-05 02:38:04.024,330,161,2.045,4.17,1.27,5,5,IC1,IC1,9,10,4,FAIR,88.06,3.94,8.27,34.06169555339138,126.5988864452445
2024-02-05 02:32:54.032,398,385,1.035,4.57,4.77,3,3,WT2,WT2,5,5,4,FAIR,81.34,4.39,12.52,33.9091248360355,126.70992902643992
2024-02-05 02:28:04.209,313,167,1.869,4.35,1.21,5,5,IC1,IC1,10,10,4,FAIR,87.71,4.15,8.49,33.917022549267166,129.49792608231047
2024-02-05 02:31:54.148,397,382,1.038,4.53,4.71,3,3,WT2,WT2,5,5,4,FAIR,81.41,4.39,12.53,34.52121121479769,128.70906454633257
2024-02-05 02:36:53.608,399,383,1.041,4.43,4.71,3,3,WT2,WT2,5,5,4,FAIR,82.47,4.31,12.45,35.62378215816119,129.8609148409352
2024-02-05 02:51:53.587,400,394,1.015,4.23,4.57,3,3,WT2,WT2,5,5,4,FAIR,82.91,4.08,12.19,35.15972509321058,127.99535755167621
