lon,lat,road_tmpr,atmp_tmpr,rltv_hmdt,hour,time_slot,risk
127.4759737,36.3459695,14.45,5.93,55.0,17,afternoon,9.0
127.41876348888889,36.425761466666664,3.93,2.97,72.3,21,evening,7.6
127.41930367777778,36.4405049,-5.69,-1.25,86.2,16,afternoon,78.9
127.43818406666666,36.37846416666667,2.31,3.19,59.93,6,morning,14.8
127.42091098888888,36.408478555555554,4.11,3.05,73.02,22,evening,8.9
127.4168629,36.4268477,0.65,0.81,85.59,11,morning,39.4
127.46128322222222,36.35644352222222,0.5700000000000001,0.93,89.33,20,evening,46.7
127.42019367777777,36.40642351111111,-1.01,-1.85,84.59,16,afternoon,59.0
127.4216283,36.4105336,-2.03,-2.49,80.28,11,morning,19.6
127.41911771111111,36.403340944444444,0.81,4.35,87.03,16,afternoon,56.6
127.48163249999999,36.34604554444444,2.21,0.79,72.7,23,evening,6.5
127.41844386666666,36.4332455,1.11,3.29,82.28,2,midnight,11.2
127.45137658888889,36.362917,4.03,3.85,69.2,0,midnight,6.0
127.41834311111111,36.432914600000004,-2.23,0.97,83.81,15,afternoon,70.9
127.4168629,36.4268477,-5.33,-1.43,87.9,19,evening,59.7
127.46211346666666,36.35497076666667,-7.03,-2.49,92.02,6,morning,70.7
127.44461227777778,36.37079713333333,1.21,1.07,87.8,4,midnight,10.3
127.45641157777779,36.359916455555556,3.71,4.85,54.29,8,morning,13.0
127.41718635555556,36.42828347777778,6.61,6.97,68.09,16,afternoon,36.2
127.4181416,36.4322528,0.71,1.01,86.62,17,afternoon,56.3
127.46758993333333,36.35194676666667,2.23,0.89,72.63,11,morning,8.3
127.4182489,36.4013022,16.73,6.33,53.49,5,midnight,21.2
127.41963955555556,36.441682899999996,-2.19,0.95,83.27,8,morning,64.2
127.478037,36.3455855,9.49,4.71,67.43,10,morning,20.4
127.41884688888888,36.4345691,-2.19,0.95,83.32,13,afternoon,71.5
127.46008613333333,36.35648466666667,-0.43,-0.6900000000000001,84.9,3,midnight,9.4
127.419261,36.4205684,-6.71,-2.77,90.34,18,evening,50.2
127.4171301,36.424279166666665,6.13,5.67,53.41,8,morning,9.5
127.42057616666666,36.41499351111111,-7.95,-3.59,91.45,0,midnight,39.4
127.41824235555555,36.4325837,0.71,0.87,81.21,5,midnight,6.5
127.48351606666667,36.34539443333333,0.75,4.37,87.77,8,morning,43.1
127.43472601111111,36.382236533333334,0.75,-0.23,81.26,17,afternoon,50.1
127.419774,36.4397697,-2.13,0.95,83.52,22,evening,47.2
127.48021779999999,36.34602653333334,2.49,2.55,74.36,13,afternoon,42.5
127.45935835555555,36.356507711111114,-1.79,1.99,79.75,21,evening,48.5
127.4168629,36.4268477,5.27,5.53,77.47,23,evening,8.2
127.44929656666667,36.365652411111114,-5.07,-0.41,85.84,11,morning,64.9
127.419261,36.4205684,0.23,2.15,87.41,19,evening,45.8
127.41978706666667,36.418338444444444,1.89,2.01,78.21,15,afternoon,54.6
127.4862556,36.3452989,-2.61,0.49,87.67,3,midnight,19.7
127.45787975555557,36.356858100000004,-0.23,2.67,77.46,20,evening,57.6
127.41854462222221,36.4335764,7.35,7.81,66.13,7,morning,17.5
127.4612964,36.3564427,0.8300000000000001,4.53,87.47,23,evening,9.8
127.4188203,36.417322455555556,1.15,0.95,80.8,18,evening,13.9
127.4759737,36.3459695,3.45,2.75,70.25,10,morning,10.3
127.4216283,36.4105336,5.93,6.23,67.04,4,midnight,19.4
127.41876348888889,36.425761466666664,0.03,2.93,82.67,10,morning,45.6
127.44148134444445,36.374660544444446,-7.29,-3.05,91.92,6,morning,66.5
127.46120415555555,36.35644845555556,1.55,0.71,77.5,16,afternoon,57.5
127.4185425,36.402160611111114,-2.17,-2.55,86.68,13,afternoon,65.7
