lon,lat,road_tmpr,atmp_tmpr,rltv_hmdt,hour,time_slot,risk
129.09480088888887,35.248093499999996,5.33,2.5700000000000003,67.69,21,evening,3.3
129.09452026666665,35.2478335,13.31,6.73,54.01,15,afternoon,17.7
129.0996393111111,35.25324333333333,8.27,6.47,53.13,17,afternoon,32.8
129.0997207,35.2873612,7.59,4.87,60.73,23,evening,6.9
129.0940738,35.2471988,17.17,7.53,43.96,21,evening,32.7
129.0936784,35.2470535,1.35,3.77,85.21,12,afternoon,60.6
129.10326526666665,35.2839004,11.99,5.47,52.69,6,morning,6.6
129.10380388888888,35.2614897,10.79,7.43,46.07,15,afternoon,16.7
129.10467111111112,35.2633624,1.97,1.07,76.57,2,midnight,7.3
129.09662835555557,35.24988097777778,4.55,4.07,84.08,19,evening,2.3
129.1086154,35.2727597,1.35,4.15,68.84,17,afternoon,72.1
129.086876,35.2952159,-3.77,-3.83,81.18,19,evening,24.2
129.10377163333334,35.283406,3.59,2.01,62.37,7,morning,10.9
129.1086154,35.2727597,2.45,2.63,79.27,8,morning,12.6
129.10524186666666,35.28065562222222,0.65,0.87,81.06,18,evening,19.8
129.0940738,35.2471988,-1.43,-1.95,85.87,8,morning,36.4
129.09423964444443,35.2475735,1.05,1.21,80.06,11,morning,22.9
129.09564275555556,35.248873499999995,-4.21,-3.47,86.45,8,morning,14.2
129.1000148777778,35.28731198888889,2.13,1.87,72.99,1,midnight,4.3
129.1007586,35.286906,-3.65,0.29,77.05,19,evening,41.8
129.1057238,35.27952763333333,0.73,0.8300000000000001,88.06,19,evening,36.4
129.096204,35.2493935,0.63,3.41,62.93,19,evening,8.8
129.10484773333334,35.281624666666666,0.85,4.25,88.3,9,morning,43.3
129.1056708,35.278931799999995,4.25,3.97,77.48,4,midnight,6.8
129.096204,35.2493935,1.07,1.39,74.44,13,afternoon,57.3
129.10293666666666,35.259617,-2.53,1.21,74.06,21,evening,27.5
129.10321033333335,35.284282733333335,3.79,4.23,84.0,21,evening,2.5
129.104278,35.2829116,-4.87,0.17,84.91,3,midnight,32.2
129.09959884444444,35.25329332222222,0.77,0.6900000000000001,81.07,7,morning,30.9
129.096204,35.2493935,-2.77,0.09,92.03,14,afternoon,69.0
129.1007586,35.286906,3.69,3.91,84.75,5,midnight,3.9
129.09115756666665,35.292597666666666,-1.69,1.91,68.53,3,midnight,38.2
129.0982935111111,35.28823394444444,3.69,3.25,70.73,17,afternoon,38.4
129.096204,35.2493935,1.63,0.25,72.25,7,morning,15.7
129.10288726666667,35.2601071,0.51,0.81,90.1,17,afternoon,62.2
129.09452026666665,35.2478335,1.17,0.03,76.48,13,afternoon,48.8
129.1086154,35.2727597,4.85,4.83,80.36,17,afternoon,41.3
129.10525926666668,35.280278233333334,7.83,6.15,62.41,7,morning,24.3
129.1007586,35.286906,-1.09,3.53,73.41,10,morning,75.0
129.100335,35.2539989,12.49,4.91,58.79,6,morning,7.2
129.0968663222222,35.289106688888886,5.17,2.73,62.85,14,afternoon,29.5
129.10380388888888,35.2614897,-5.11,-1.17,78.75,2,midnight,37.4
129.10467111111112,35.2633624,-7.47,-3.13,84.39,7,morning,54.8
129.1044362,35.2829711,-3.61,0.67,83.42,2,midnight,30.6
129.10608233333335,35.27758536666666,1.87,4.19,68.68,5,midnight,9.0
129.0883031888889,35.29434315555556,-2.35,-2.61,87.44,1,midnight,7.9
129.0939590222222,35.2473135,3.11,4.33,57.85,10,morning,11.1
129.10772846666666,35.27219963333333,18.39,8.43,43.01,0,midnight,11.9
129.10475993333333,35.28178361111111,0.47,0.55,81.12,21,evening,20.8
129.10321033333335,35.284282733333335,7.85,6.8100000000000005,53.68,3,midnight,23.4
