lon,lat,road_tmpr,atmp_tmpr,rltv_hmdt,hour,time_slot,risk
127.039938,37.463303233333335,0.79,4.43,87.35,5,midnight,30.1
127.04121385555555,37.462302666666666,-4.93,0.47,82.29,8,morning,81.3
127.04016006666667,37.46341816666667,4.99,4.29,78.11,0,midnight,5.5
127.03951950000001,37.46375095555556,4.21,3.89,69.05,9,morning,16.3
127.03998764444444,37.46359561111111,1.25,0.75,80.5,16,afternoon,54.4
127.04117943333334,37.46198457777778,-7.41,-2.97,90.88,2,midnight,61.8
127.0422078,37.461241,-6.95,-1.79,78.92,10,morning,62.0
127.04365526666666,37.45935952222222,-2.5700000000000003,0.19,92.2,13,afternoon,72.3
127.04117943333334,37.46198457777778,4.31,2.91,85.17,23,evening,7.8
127.04181022222222,37.46166566666667,3.75,3.67,58.99,15,afternoon,35.5
127.0431601,37.45988453333333,-5.35,-1.43,87.93,11,morning,62.4
127.0479294,37.45510526666666,-1.75,-2.39,80.43,8,morning,22.1
127.04007385555556,37.463506888888894,-6.95,-1.81,87.4,13,afternoon,76.3
127.0420090111111,37.46145333333333,-6.35,-2.29,81.72,22,evening,70.6
127.04016006666667,37.46341816666667,13.59,6.65,54.38,3,midnight,22.4
127.0461012,37.45706324444444,-0.6900000000000001,-1.51,77.98,19,evening,17.3
127.0403324888889,37.463240722222224,7.11,2.77,63.72,11,morning,10.6
127.0422868,37.46115373333333,1.37,3.91,59.54,2,midnight,2.5
127.04167460000001,37.46145956666667,4.93,4.05,77.56,18,evening,4.9
127.0446456,37.4583095,-6.69,-2.35,91.06,8,morning,73.3
127.04226046666666,37.46118282222222,0.39,-0.5700000000000001,80.04,19,evening,11.3
127.04002170000001,37.46321368888889,-3.03,-3.35,82.91,0,midnight,6.7
127.04002170000001,37.46321368888889,-7.53,-3.23,90.7,20,evening,46.7
127.04181022222222,37.46166566666667,-1.51,-2.15,80.13,12,afternoon,66.3
127.04223413333334,37.461211911111114,-0.13,-1.07,83.42,7,morning,34.9
127.04231313333334,37.461124644444446,3.05,2.11,73.86,12,afternoon,40.8
127.0470153,37.45608425555555,-2.89,-3.15,82.19,7,morning,25.5
127.03998764444444,37.46359561111111,-2.05,1.81,80.89,8,morning,62.0
127.0396032,37.46366141111111,-3.67,-2.87,85.57,14,afternoon,64.3
127.03951950000001,37.46375095555556,12.93,6.67,55.16,9,morning,9.0
127.04141264444445,37.462090333333336,-7.53,-3.07,91.21,21,evening,46.9
127.0479294,37.45510526666666,7.99,7.11,52.25,17,afternoon,32.6
127.04266493333333,37.460409544444445,5.03,3.71,80.78,3,midnight,7.0
127.0479294,37.45510526666666,-5.85,-1.59,85.84,1,midnight,56.4
127.0394358,37.4638405,9.03,6.53,55.55,7,morning,20.1
127.0422078,37.461241,5.71,3.49,63.47,9,morning,28.8
127.0506717,37.4521683,0.99,2.81,75.3,19,evening,28.2
127.04167460000001,37.46145956666667,-2.65,0.47,94.3,8,morning,79.4
127.0401891,37.4630346,-4.43,0.09,81.81,16,afternoon,77.3
127.0422868,37.46115373333333,-0.45,0.11,81.96,16,afternoon,60.9
127.04117943333334,37.46198457777778,-2.89,-3.03,81.91,23,evening,18.5
127.04231313333334,37.461124644444446,2.47,1.97,76.8,21,evening,15.1
127.0423658,37.461066466666665,-2.21,1.39,78.69,11,morning,65.2
127.04216976666667,37.46093455555555,-2.59,1.93,79.34,11,morning,69.5
127.04016006666667,37.46341816666667,0.65,0.77,87.38,19,evening,34.4
127.04226046666666,37.46118282222222,1.49,1.47,86.44,0,midnight,10.0
127.0422868,37.46115373333333,0.59,3.67,88.57,7,morning,44.4
127.0396869,37.46357186666667,7.95,5.43,58.26,18,evening,8.7
127.04068426666667,37.46250958888889,2.85,2.69,74.02,11,morning,9.4
127.0470153,37.45608425555555,0.97,1.09,81.06,23,evening,18.5
