lon,lat,road_tmpr,atmp_tmpr,rltv_hmdt,hour,time_slot,risk
126.83250115555555,37.52521585555556,-2.51,0.33,91.2,11,morning,53.9
126.83416482222222,37.52549472222222,-1.15,1.23,89.85,11,morning,48.5
126.83361026666667,37.52540176666667,-2.35,-1.81,80.85,17,afternoon,68.5
126.83416482222222,37.52549472222222,0.75,-0.13,80.62,22,evening,11.5
126.83305571111111,37.52530881111111,-3.49,-3.73,86.39,6,morning,20.9
126.83416482222222,37.52549472222222,-4.91,-0.53,84.68,23,evening,48.3
126.8319466,37.5251229,18.91,7.31,54.13,12,afternoon,4.3
126.83277843333333,37.52526233333333,11.83,5.89,58.16,3,midnight,36.6
126.83333298888888,37.52535528888889,0.63,3.87,89.4,23,evening,32.3
126.8344421,37.5255412,-2.49,0.75,93.78,9,morning,74.9
126.83250115555555,37.52521585555556,-2.25,-2.77,87.14,9,morning,32.8
126.83250115555555,37.52521585555556,0.87,4.31,87.73,10,morning,44.4
126.83277843333333,37.52526233333333,-2.39,-2.77,85.72,12,afternoon,67.4
126.83388754444445,37.52544824444444,0.55,0.5700000000000001,86.17,11,morning,40.8
126.83250115555555,37.52521585555556,16.49,4.8100000000000005,61.36,1,midnight,30.6
126.8319466,37.5251229,-1.81,1.53,78.4,19,evening,33.2
126.83250115555555,37.52521585555556,0.65,3.85,90.21,8,morning,47.0
126.83361026666667,37.52540176666667,-2.65,0.07,92.41,8,morning,53.9
126.83222387777778,37.52516937777778,-4.95,-0.5700000000000001,86.8,20,evening,47.4
126.83250115555555,37.52521585555556,1.25,2.99,75.02,17,afternoon,60.8
126.8344421,37.5255412,1.59,1.35,83.56,23,evening,23.6
126.8344421,37.5255412,-7.51,-3.31,85.81,18,evening,63.2
126.83361026666667,37.52540176666667,9.25,7.43,41.62,22,evening,6.5
126.83416482222222,37.52549472222222,0.75,0.77,81.06,8,morning,30.9
126.83277843333333,37.52526233333333,1.59,2.49,60.35,13,afternoon,55.0
126.83361026666667,37.52540176666667,-0.89,-0.09,81.78,10,morning,51.3
126.83333298888888,37.52535528888889,12.93,5.57,66.04,1,midnight,24.8
126.8319466,37.5251229,-4.05,1.09,83.68,5,midnight,45.6
126.83333298888888,37.52535528888889,8.67,6.87,53.93,12,afternoon,28.2
126.8344421,37.5255412,8.21,3.99,55.96,22,evening,3.4
126.83305571111111,37.52530881111111,1.37,4.23,68.48,1,midnight,10.9
126.83388754444445,37.52544824444444,2.61,2.53,74.02,13,afternoon,41.9
126.83277843333333,37.52526233333333,14.65,4.87,59.7,15,afternoon,9.3
126.83305571111111,37.52530881111111,-1.79,1.77,68.84,6,morning,61.5
126.83250115555555,37.52521585555556,-2.69,0.63,94.22,22,evening,86.1
126.83250115555555,37.52521585555556,1.03,1.45,74.9,20,evening,14.1
126.83361026666667,37.52540176666667,-1.11,2.07,79.55,15,afternoon,70.5
126.83222387777778,37.52516937777778,1.77,5.21,84.71,22,evening,4.9
126.83222387777778,37.52516937777778,-0.25,3.19,64.14,16,afternoon,77.3
126.83222387777778,37.52516937777778,0.11,0.87,79.37,15,afternoon,55.1
126.83388754444445,37.52544824444444,-0.85,-1.33,83.29,18,evening,24.2
126.83250115555555,37.52521585555556,4.19,3.87,77.31,14,afternoon,44.5
126.83277843333333,37.52526233333333,-6.63,-2.33,89.15,6,morning,66.8
126.83250115555555,37.52521585555556,15.27,4.91,58.06,21,evening,33.3
126.83222387777778,37.52516937777778,3.41,2.89,72.67,9,morning,10.8
126.83361026666667,37.52540176666667,3.89,3.87,83.62,23,evening,3.5
126.83222387777778,37.52516937777778,-1.29,-1.73,85.26,5,midnight,11.0
126.83222387777778,37.52516937777778,-3.81,0.37,78.26,19,evening,36.3
126.83305571111111,37.52530881111111,1.09,2.93,76.12,7,morning,38.9
126.83222387777778,37.52516937777778,0.43,0.33,88.43,13,afternoon,53.8
