lon,lat,road_tmpr,atmp_tmpr,rltv_hmdt,hour,time_slot,risk
126.86827186666667,35.192595000000004,6.33,4.27,66.16,22,evening,6.0
126.9385764,35.207526944444446,-2.91,-3.03,89.24,23,evening,45.3
126.9246659,35.1820668,-2.91,2.19,80.02,13,afternoon,75.4
126.93044185555556,35.199840377777775,10.39,3.55,56.16,4,midnight,24.1
126.82781816666666,35.217565066666666,-6.37,-1.81,88.36,7,morning,65.2
126.87952105555556,35.185811988888894,1.79,2.17,75.38,17,afternoon,58.9
126.92695973333333,35.18576752222222,1.15,1.11,89.41,6,morning,32.2
126.90999156666666,35.18356254444444,14.49,4.75,59.37,1,midnight,35.8
126.853285,35.1929617,6.15,4.01,61.28,2,midnight,44.5
126.90468941111111,35.18409858888889,-0.31,2.61,77.76,20,evening,60.2
126.92650096666667,35.18502737777778,1.79,1.43,77.89,0,midnight,8.0
126.92833603333334,35.187987955555556,7.03,7.29,65.88,9,morning,21.8
126.9062475111111,35.183381133333334,-0.53,2.51,84.49,7,morning,66.2
126.83241176666667,35.20971766666667,-4.69,-0.23,88.6,10,morning,70.7
126.82700082222222,35.22169872222222,-1.79,-0.99,83.19,10,morning,43.4
126.90335972222222,35.18409252222222,-2.67,-2.85,80.99,7,morning,24.0
126.82982745555556,35.21307535555556,5.03,4.21,79.27,7,morning,17.6
126.83066471111111,35.21306921111111,0.61,0.71,81.27,13,afternoon,55.2
126.9287948,35.1887281,-2.07,1.51,79.71,8,morning,60.3
126.8262038,35.2272033,-1.29,1.93,82.35,13,afternoon,71.4
126.82817673333334,35.21615963333333,10.87,4.45,56.36,11,morning,7.8
126.82813295555556,35.216557522222224,-2.95,-3.15,83.0,9,morning,24.7
126.94054543333333,35.2081987,-0.89,1.57,84.9,14,afternoon,68.0
126.89886955555555,35.183978466666666,1.11,1.33,78.51,11,morning,21.4
126.8274596,35.2189705,-2.21,1.91,81.78,7,morning,65.1
126.83540525555556,35.206335966666664,7.91,6.63,54.33,10,morning,28.4
126.93168601111111,35.20152875555556,-8.25,-3.89,85.58,15,afternoon,41.2
126.89088583333333,35.18460532222222,0.67,0.8300000000000001,85.7,19,evening,34.2
126.82679273333333,35.2234283,3.67,2.89,73.8,7,morning,9.5
126.85438465555556,35.19380701111111,10.87,7.57,46.22,6,morning,16.7
126.87025693333334,35.19170447777778,0.39,1.77,88.16,17,afternoon,54.0
126.94141139999999,35.20885987777778,-5.93,-0.89,88.13,21,evening,52.5
126.83184156666667,35.21171976666667,10.49,4.87,53.95,5,midnight,28.5
126.93168601111111,35.20152875555556,0.59,4.73,58.57,7,morning,33.2
126.8664826,35.192931,-0.19,-0.87,76.92,14,afternoon,55.9
126.82768784444444,35.218531077777776,1.17,1.13,89.38,1,midnight,14.7
126.9057989,35.1839899,6.97,7.13,65.7,5,midnight,26.7
126.8317656888889,35.21055708888889,1.63,0.15,71.32,21,evening,9.2
126.9360781,35.2061345,6.49,6.8100000000000005,69.8,22,evening,1.2
126.8691665,35.192427,0.43,-0.07,83.39,14,afternoon,51.2
126.93980087777777,35.20785466666666,5.15,4.21,78.01,13,afternoon,42.0
126.92888433333334,35.1908223,3.53,4.23,64.27,22,evening,10.2
126.89300596666666,35.18440973333333,4.67,5.39,58.61,8,morning,13.2
126.82805721111112,35.21662811111111,0.37,0.81,89.41,9,morning,36.3
126.8509281,35.1940573,3.61,1.99,62.02,0,midnight,6.9
126.8266338,35.2238813,15.21,6.05,65.42,6,morning,7.8
126.8829721,35.1848253,16.93,7.37,44.09,5,midnight,16.4
126.93831176666667,35.2071666,1.99,2.21,75.22,10,morning,16.5
126.86737723333333,35.192763,-8.07,-3.59,84.26,8,morning,66.1
126.89518057777778,35.18427713333333,9.91,4.53,53.49,6,morning,5.9
