lon,lat,road_tmpr,atmp_tmpr,rltv_hmdt,hour,time_slot,risk
127.3780157,36.4093193,2.61,4.27,65.11,15,afternoon,37.7
127.38179775555555,36.41100174444444,3.27,1.95,77.19,11,morning,8.4
127.3152795,36.29586666666667,4.05,5.83,66.62,10,morning,20.8
127.3419937,36.391025533333334,4.45,3.93,85.13,20,evening,4.0
127.33108194444443,36.36561865555556,3.33,4.07,56.71,18,evening,0.7
127.3125993888889,36.30189087777778,-0.15,0.5700000000000001,80.42,0,midnight,20.2
127.3125993888889,36.30189087777778,8.89,5.51,56.95,8,morning,14.2
127.3811509,36.4111428,0.61,0.87,88.8,10,morning,40.9
127.33086601111111,36.36325806666667,-0.95,-0.11,81.98,14,afternoon,60.0
127.3367911,36.3827516,0.19,-0.33,84.87,14,afternoon,50.5
127.30690796666667,36.3156423,-0.71,1.41,88.96,20,evening,73.3
127.3325443,36.370184,9.75,5.73,58.37,12,afternoon,28.4
127.3152795,36.29586666666667,6.65,4.23,59.98,21,evening,3.2
127.32546225555555,36.352626566666665,1.39,1.31,80.55,23,evening,18.7
127.38376387777778,36.411644044444444,-1.39,-1.93,79.54,20,evening,17.1
127.3146931,36.2972308,7.63,5.01,59.18,3,midnight,48.0
127.30075732222222,36.27379837777778,0.71,3.79,88.62,19,evening,22.6
127.33899716666667,36.38690597777778,16.61,6.27,54.46,17,afternoon,6.4
127.3554993,36.39918323333333,1.81,1.91,77.19,7,morning,23.9
127.2799951,36.2521711,3.31,2.27,82.71,1,midnight,3.5
127.33828518888889,36.385798711111114,-6.07,-2.09,81.43,14,afternoon,79.1
127.3374989,36.3848462,0.95,2.77,77.86,16,afternoon,57.9
127.3155139,36.2955816,-2.51,0.61,86.73,18,evening,60.3
127.30694038888889,36.31598296666667,-0.01,2.43,62.26,11,morning,23.5
127.3367911,36.3827516,4.07,3.79,81.58,17,afternoon,37.0
127.28829998888888,36.26082201111111,0.6900000000000001,0.93,89.28,9,morning,36.7
127.3353755,36.3785624,0.85,1.89,89.02,10,morning,36.7
127.33052992222223,36.36200793333334,0.85,4.35,86.93,17,afternoon,56.4
127.31483970000001,36.296889766666666,1.79,3.07,71.32,18,evening,16.3
127.33052992222223,36.36200793333334,-2.37,0.63,85.85,15,afternoon,58.0
127.3307079,36.3626095,-3.37,-3.43,84.26,1,midnight,7.8
127.38376387777778,36.411644044444444,-7.29,-3.03,89.98,8,morning,63.4
127.38028493333334,36.410328766666666,-5.21,-2.21,82.13,8,morning,45.6
127.34317811111111,36.39272038888889,-1.53,1.73,78.69,12,afternoon,68.6
127.33095003333334,36.3635706,2.55,2.67,78.93,7,morning,11.9
127.3146931,36.2972308,4.37,4.97,58.54,20,evening,3.5
127.34349196666668,36.393085311111115,-6.75,-2.41,90.41,19,evening,57.2
127.3397463,36.387935866666666,6.53,5.71,54.52,21,evening,2.1
127.31011852222223,36.30734634444445,19.19,7.77,52.21,12,afternoon,4.1
127.38637685555555,36.41214528888889,6.63,2.29,67.45,18,evening,1.7
127.3125993888889,36.30189087777778,5.19,3.11,71.13,5,midnight,6.8
127.33262078888889,36.36901968888889,-0.61,2.37,79.55,19,evening,57.6
127.3155727,36.2951846,0.75,0.77,80.84,21,evening,19.3
127.3811509,36.4111428,2.95,6.97,70.19,0,midnight,21.6
127.30700523333333,36.3166643,0.99,1.21,79.01,7,morning,22.3
127.3367911,36.3827516,1.63,1.41,79.86,15,afternoon,51.9
127.31520503333333,36.2963285,-2.59,0.41,93.26,0,midnight,50.9
127.3312021,36.3645082,0.07,-0.79,81.1,18,evening,14.3
127.3780157,36.4093193,6.51,5.27,58.09,0,midnight,35.3
127.33545816666667,36.378042666666666,-4.97,-1.01,88.27,14,afternoon,78.9
